,name,official_name,alias,origins,climate,description,difficulty,water,light,humidity,temperature,toxicity,format,leaf_shape,image_url,url,height,width,id,leaf_green,leaf_multicolored,leaf_oblong,leaf_oval,leaf_teardrop,leaf_triangular,leaf_spear,leaf_heart,leaf_wavy,leaf_palmate,leaf_split,leaf_round,leaf_ribbon,leaf_pattern,growth_cluster,growth_dense,growth_upright,growth_shrubby,growth_cascading,growth_tree
10,Caladium,Caladium bicolor 'Summer Breeze',"Elephant Ear, Heart of Jesus, Angel Wings",South America,Tropical & Subtropical,"Delicate heart-shaped leaves with an ephemeral quality. This variety sports pale green, almost white leaves with an intricate pattern of veins in a vibrant green. But perhaps most strikingâthe midline and primary veins are stained pink, seemingly ""bleeding"" out into each leaf.",0.5,0.5,1.0,1.0,1.0,0.5,Upright clusters of long stems.,Delicate heart-shaped leaves with highly contrasted venation.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/61f0a16d8caa5cb367148662_caladium-export.png,https://www.howmanyplants.com/plant/caladium,0.1282051282051282,0.17192711240892627,11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11,Monstera,Monstera deliciosa,"Swiss Cheese Plant, Fruit Salad Plant, Split-leaf Philodendron",Central America,Tropical,"Likely the most recognizable houseplantâMonstera are widely admired for their glossy green split leaves with fenestrations (holes), but equally appreciated for their easy going ways. Monstera are happiest (and grow bigger leaves) when given the opportunity to climb.",0.0,0.5,0.0,0.5,0.0,0.5,Densely packed upright stems.,Bright green and heart-shaped with splits and perforations.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e1452aa2a969c964b11a_monstera-export.png,https://www.howmanyplants.com/plant/monstera,0.4358974358974359,0.27513204792373425,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
12,Chinese Evergreen,Aglaonema commutatum 'Maria',"Aglaonema, Philippine Evergreen",Southeastern Asia,Tropical & Subtropical,"A pleasantly bushy and easy going plant. Densely packed stems are topped with graceful oblong leaves that radiate out in all directions. Each deep green leaf has a unique pattern of contrasting splotches in a much lighter, almost white, shade of green.",0.0,0.5,1.0,0.0,0.0,1.0,Densely packed upright stems.,Deep green with variegation and an elongated teardrop shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/610f0b0cf7ff77e83dc07705_aglaonema%20maria-export.png,https://www.howmanyplants.com/plant/chinese-evergreen,0.07692307692307693,0.17192711240892627,13,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,Ficus Audrey,Ficus benghalensis 'Audrey',"Bengal Fig, Strangler Fig, Banyan Tree, Peepal, Bahupada",India,Tropical,"Soft shapes and soft to the touch! This friendly ficus is a bit easier to take care of than their more ubiquitous cousin, the FLF, but equally capable of making a statement in your space. Generally potted in groups of a few stems, this elegant plant looks just as nice whether a petite, bush-like plant or a stately tree branching out and up!",0.5,0.5,1.0,0.5,0.0,0.5,Can be trained into a single trunk tree-form.,Bright green in a soft almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/610f0afb61ddcba1eefe14ae_ficus%20audrey-export.png,https://www.howmanyplants.com/plant/ficus-audrey,0.4358974358974359,0.3783369834385422,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Coral Cactus,Euphorbia lactea 'Cristata',"Crested Elkhorn, Crested Candelabra Plant, Crested Euphorbia",Africa,Tropical,"This unusual plant is actually two-plants-in-one! The base, or ""trunk"", is (usually) a Euphorbia neriifolia and the top is a Euphorbia lactea that has been grafted on, creating a curious Frankenstein plant that closely resembles something you might find in a coral reef!",0.25,0.0,1.0,0.0,0.0,0.5,A slender trunk topped with a crested formation.,Rippled wavy crest formation.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/610f0ad30625e10036bbdd5b_coral%20cactus-export.png,https://www.howmanyplants.com/plant/coral-cactus,0.038461538461538464,0.03017241379310345,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15,Hindu Rope Plant,Hoya carnosa 'Compacta',"Hoya Compacta, Krinkle Kurl, Indian Rope, Angel Rope, Porcelain Flower, Wax Plant",Southeast Asia,Tropical,"Quite a unique vining plant, distinguished for their curled, twisted, somewhat gnarled-looking leaves. These waxy plump leaves grow in dense succession, creating a rope-like effect as they trail longer and longer. A high shelf or hanging planter is perfect for displaying these trailing tendrils.",0.25,0.0,0.0,0.5,0.0,0.5,Cascading tendrils create a mane-like look.,"Two-toned green and a scrunched, twisted shape.",https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/610f0ac44c9e8252e2b2772f_hindu%20rope%20plant-export.png,https://www.howmanyplants.com/plant/hindu-rope-plant,0.1282051282051282,0.1206896551724138,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
16,Desert Rose,Adenium obesum,"Sabi Star, Kudu, Mock Azalea, Impala Lily",Sub-Saharan Africa,Tropical & Subtropical,"An unusual little plant that unexpectedly boasts plentiful flowers. The Desert Rose is distinguished by its plump swollen stem (called a caudex) topped by a tangle of thick, stubby branches with bundles of small green leaves and studded with impressively pink blooms in the spring and summer.",0.5,0.0,1.0,0.0,1.0,0.5,Upright tree-like formation.,Bright green leaf bundles.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/610f0a8677dce431d472e6f2_desert%20rose-export.png,https://www.howmanyplants.com/plant/desert-rose,0.1282051282051282,0.17192711240892627,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Pilea,Pilea peperomioides,"Chinese Money Plant, Pancake Plant, Coin Plant, UFO Plant, Friendship Plant",Southern China,Humid Subtropical,"This perky little plant is a delight for both their cute round leaves and a penchant for producing plantlets (pups) that are easily propagatedâthe reason they're also known as the ""friendship plant"".",0.25,0.5,0.0,0.0,0.0,0.5,Upright stem with a globular growth pattern.,Vivid green in a perfectly round pad-like shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f989899d365db4ca9b2e971_pilea-export.png,https://www.howmanyplants.com/plant/pilea,0.02564102564102564,0.017241379310344827,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Money Tree,Pachira aquatica,"Braided Money Tree, Guiana Chestnut, Saba Nut",Central & South America,Tropical Wetland,"Often sold with a decoratively braided trunk, this pretty indoor tree is thought to bring good fortune, but we'd like the Money Tree even if that wasn't the case. The bright green palm shaped leaves bring a perky, cheerful vibe to your home.",0.25,0.5,0.5,1.0,0.0,0.0,Upright tree-like formation.,Bright green palmate leaf bundles.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f9899735c01b4114081091f_money%20tree-export.png,https://www.howmanyplants.com/plant/money-tree,0.28205128205128205,0.17192711240892627,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,Monstera Adansonii,Monstera adansonii,"Swiss Cheese Vine, Monkey Mask",Central America,Tropical,"A petite cousin of the classic Monstera deliciosa. With the many holed leaves, this plant is also known as the Swiss Cheese Vine. Like their cousin, this plant is a natural climber, but will also cascade over the side of their containerâperfect for a high shelf or hanging planter.",0.25,0.5,0.0,0.5,0.0,0.5,A low shrubby plant that vines to great lengths.,Bright green and teardrop shaped with numerous perforations.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e139bdf8957a9b8ca6a8_monstera%20adansonii-export.png,https://www.howmanyplants.com/plant/monstera-adansonii,0.38461538461538464,0.17192711240892627,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Snake Plant,Dracaena trifasciata 'Laurentii' (FKA Sansevieria),"Sansevieria, Mother-in-law's Tongue, Viper's Bowstring Hemp, Saint George's Sword, Tiger's Tail",West Africa,Tropical Savannah,"All snake plants are known for their long, pointy spear or sword shaped leaves, but the Laurentii variant is distinguished by the unique streaky static-like variegation and striking yellow edges.",0.0,0.0,0.0,0.0,0.0,0.5,Densely packed upright leaves.,Flat spears in bright green with variegation.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e11b370f825ad6ece803_snake%20plant%20(soft)-export.png,https://www.howmanyplants.com/plant/snake-plant,0.1282051282051282,0.17192711240892627,21,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
21,Heartleaf Philodendron,Philodendron hederaceum (scandens),"Sweetheart Plant, Devil's Ivy, 'Cordatum'","Caribbean, Central & South America",Tropical,"A tried and true houseplant classic. Perfectly heart shaped bright green leaves adorn this sturdy vining (or climbing!) plant. Sometimes mistaken for a Pothos, you can distinguish the Heartleaf Philo by the distinct point in each leaf and their thinner, more delicate texture.",0.0,0.5,0.0,0.5,0.0,0.5,A low shrubby plant that vines to great lengths.,Deep green with a heart shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e0ee634be13213b15a50_heartleaf%20philo-export.png,https://www.howmanyplants.com/plant/heartleaf-philodendron,1.0,1.0,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22,ZZ Plant,Zamioculcas zamifolia,"Zanzibar Gem, Zuzu Plant, Emerald Palm, Aroid Palm",Eastern & Southern Africa,Subtropical Savannah,A ZZ plant stands out with their petite leaflets lining tall sturdy swollen stems. The thick leaves are so glossy and bright that the ZZ can be mistaken for a faux plant! Which isn't really a bad thing as this plant thrives on neglect.,0.0,0.0,0.0,0.0,0.0,0.5,Upright clusters of long stems.,Glossy emerald green with an almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fbc51ef9d868e5bde40f783_zz%20plant-export.png,https://www.howmanyplants.com/plant/zz-plant,0.23076923076923078,0.3783369834385422,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Anthurium,Anthurium adraeanum or scherzerianum,"Flamingo Flower, Tail Flower, Laceleaf",South America,Subtropical,"Prized for their heart shaped green leaves and the showy pop of color from the long lasting spathes (often confused for flower petals, these are modified leaves) with their funny spike, or spadix.",0.5,0.5,1.0,0.5,1.0,0.5,Densely packed upright stems.,Bright green and heart-shaped with a unique inflorescence.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f989b5d6024c70a55b8a7ff_anthurium-export.png,https://www.howmanyplants.com/plant/anthurium,0.05128205128205128,0.06872217689411832,24,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
24,Spider Plant,Chlorophytum comosum,"Airplane Plant, St. Bernard's Lily, Spider Ivy, Ribbon Plant",Southern Africa,Tropical & Subtropical,"An absolute classic. The Spider Plant is beloved for their easy going nature and ability to produce spiderettes, or little mini spider plants, that are ready to propagate at will.",0.25,0.5,1.0,0.5,0.0,0.0,Cascading leaves create a mane-like look.,Long ribbon-like blades in bright green with a white stripe.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e0b9e480ab00413fa5a4_spider%20plant-export.png,https://www.howmanyplants.com/plant/spider-plant,0.1282051282051282,0.27513204792373425,25,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
25,Fiddle Leaf Fig,Ficus lyrata,"Fiddle, Fiddle Leaf, FLF, Fiddly Fig",West Africa,Lowland Tropics,"The Fiddle Leaf Fig is a veritable houseplant icon. Admired for their stately tree-like form with distinctly lobed leaves that resemble a violin (their namesake, a fiddle). The prominent veins and cheerful, bright green hue of the leaves also contribute to their striking appearance.",0.75,0.5,1.0,0.5,0.0,0.5,Can be trained into a single trunk tree-form.,Brilliant green with a large violin shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f9885fea0605d7e66df797a_fiddle%20leaf%20fig-export.png,https://www.howmanyplants.com/plant/fiddle-leaf-fig,0.48717948717948717,0.3783369834385422,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
26,Rubber Tree,Ficus elastica 'Burgundy',"Rubber Fig, Rubber Bush, Rubber Plant, Indian Rubber Plant, Indian Rubber Tree","India, Malaysia",Tropical,"Sturdy, leathery leaves that range from a striking deep dark green to burgundy black make the Rubber Tree a standout plant. Generally potted in groups of a few stems, this elegant plant looks just as nice whether a petite, bush-like plant or a stately tree branching out and up!",0.5,0.5,1.0,0.5,0.0,0.5,Can be trained into a single trunk tree-form.,Glossy dark green with an almond shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e175e5f6ef6f3bbdb75d_rubber%20tree-export.png,https://www.howmanyplants.com/plant/rubber-tree,0.4358974358974359,0.3783369834385422,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Calathea Medallion,Calathea roseopicta,Prayer Plant,South America,Tropical,"Show-stopping leaves on this one! This Calathea has big round leaves with a frilly ridged texture. The leaves are graced with painterly brush strokes in various shades of green, while the undersides are a vibrant magenta.",1.0,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Round leaves with ridges and a painterly pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ab602acfe51547b5f020_calathea%20medallion-export.png,https://www.howmanyplants.com/plant/calathea-medallion,0.07692307692307693,0.17192711240892627,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
28,Calathea Rattlesnake,Calathea lancifolia,Prayer Plant,South America,Tropical,The unusual leaf pattern of alternating small and large spots rivals any animal print out there. This Calathea also features slender frilly edged leaves with bright magenta undersides.,1.0,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Slender leaves with ridges and a unique pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ab9d5978b10ccdbbc76b_calathea%20rattlesnake-export.png,https://www.howmanyplants.com/plant/calathea-rattlesnake,0.07692307692307693,0.17192711240892627,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
29,Calathea Orbifolia,Calathea orbifolia,Prayer Plant,South America,Tropical,"Huge shiny round leaves with slivery green stripes radiating outward make this a particularly captivating Calathea! The large leaves make their ""prayer"" action all the more dramatic, lifting and lowering their leaves from night to day.",1.0,1.0,0.5,1.0,0.0,0.0,Low bushy clusters of densely packed stems.,Large round leaves with ridges and a stripe pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98b10a2acfe5aadbb5ff78_calathea%20orbifolia-export.png,https://www.howmanyplants.com/plant/calathea-orbifolia,0.1282051282051282,0.27513204792373425,30,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
30,Maranta,Maranta leuconeura,"Prayer Plant, Herringbone Plant",South America,Tropical,"The variegated green leaves with bright red veining and undersides make this prayer plant a standout. A variant known as 'Lemon Lime' trades the red for bright neon green! A low creeping plant, they really shine on a high shelf or hanging planter!",0.5,1.0,0.5,1.0,0.0,0.5,Low bushy clusters of densely packed stems.,Oval leaves in shades of green with a herringbone pattern.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e09574b213b365177ad6_prayer%20plant-export.png,https://www.howmanyplants.com/plant/maranta,0.1794871794871795,0.3783369834385422,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
31,Golden Pothos,Epipremnum aureum,"Devil's Ivy, Sweetheart Vine, Ceylon Creeper, Hunter's Robe","Southeast Asia, French Polynesia",Tropical,"Fast growing and easy going, Pothos are one of the most popular houseplants around. While there are many beautiful variants, this Golden Pothos stands out with fun yellow variegation. All Pothos will trail, but they can also climb if provided a little support or training.",0.0,0.5,0.0,0.5,0.0,0.5,A low shrubby plant that vines to great lengths.,Vibrant green with variegation and a heart shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e080e8121dc565d4d43f_golden%20pothos-export.png,https://www.howmanyplants.com/plant/golden-pothos,1.0,1.0,32,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
32,Parlor Palm,Chamaedorea elegans,"Neanthe Bella Palm, Victorian Palm, Good Luck Palm",Central America,Tropical,"The simple elegance of this feathery palm is hard to deny. Generally grown in bundles or clumpsâeven a small specimen will have a pleasant bushy look. More mature specimens are sure to anchor any space with their tall fronds, parlor or not!",0.25,0.5,0.0,0.0,0.0,0.0,Densely packed upright stems.,Feathery green fronds.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fbc51c7aae2f773b6545a90_parlor%20palm-export.png,https://www.howmanyplants.com/plant/parlor-palm,0.28205128205128205,0.27513204792373425,33,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,Alocasia Polly,"N/A, but known as Alocasia Amazonica","Amazon Elephant's Ear, African Mask",Southeast Asia & Philippines,Tropical,This Alocasia brings the drama! With frilly arrowhead shaped leaves in a deep dark green with highly contrasted veining and rich purple undersides! The unusual look is a striking addition to any plant fam.,0.5,1.0,0.5,0.5,1.0,1.0,Upright clusters of long stems.,Dark green with a ruffled arrowhead shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f988e315142e7634b065a6d_alocasia%20polly-export.png,https://www.howmanyplants.com/plant/alocasia-polly,0.07692307692307693,0.17192711240892627,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34,Ponytail Palm,Beaucarnea recurvata,"Elephant's Foot, Bottle Palm",Eastern Mexico,Tropical (semi-arid region),"A sassy looking plant, indeed! The Ponytail Palm (though not actually a palm) is distinguished by its plump swollen stem (called a caudex) topped by a bundle of flowing slender and often curly leavesânot unlike a ponytail!",0.25,0.0,1.0,0.0,1.0,0.0,Upright tree-like formation.,Long ribbon-like blades in a bright green.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1e058634be169acb156e1_ponytail%20palm-export.png,https://www.howmanyplants.com/plant/ponytail-palm,0.28205128205128205,0.4815419189533502,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,Dracaena,Dracaena marginata,"Dragon Tree, Madagascar Dragon Tree",Madagascar,Subtropical,"The spiky grass-like blades that fountain out from the tops of wavy branches on these indoor trees make for an eye-catching houseplant. Sometimes mistaken for a type of palm, these Dracaena are actually related to Snake Plants and Yucca!",0.25,0.0,0.0,0.0,0.0,0.5,Upright tree-like formation.,Long ribbon-like blades in green with a red margin.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ad4154fce52937c14878_dracaena%20marginata-export.png,https://www.howmanyplants.com/plant/dracaena,0.38461538461538464,0.27513204792373425,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,Schefflera,Schefflera arboricola,"Umbrella Plant, Dwarf Schefflera, Gold Capella","Australia, Taiwan",Subtropical,A unique plant with their small palm-shaped leaf bundles radiating out like little bursts of green (and sometimes splashes of yellow if you have a variegated specimen). You can find this plant as a petite bush-like plant or an impressive tree growing to great heights!,0.25,0.5,1.0,0.5,0.0,0.5,Can be trained into a single trunk tree-form.,Bright green palmate leaf bundles.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5fa1dfba8227abe2e2c6339d_schefflera-export.png,https://www.howmanyplants.com/plant/schefflera,0.4358974358974359,0.3783369834385422,37,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
37,Dieffenbachia,Dieffenbachia amoena 'Tropic Snow',Dumb Cane,"Caribbean, Central & South America",Tropical,"Large teardrop leaves in bright green with showy yellow flecks and splatters that emerge from a sturdy cane-like stalk. A fast growing friend, watching the Dieffenbachia transform year over year can be quite rewarding.",0.25,0.5,0.5,0.0,0.0,1.0,Upright cane-like stalks.,Bright green with variegation and a large teardrop shape.,https://uploads-ssl.webflow.com/5f555a41822a92ae93ebb80d/5f98ad6a720201442c734efd_dieffenbachia-export.png,https://www.howmanyplants.com/plant/dieffenbachia,0.1794871794871795,0.27513204792373425,38,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
